location_type,stop_id,stop_lat,stop_lon,parent_station,stop_name,stop_code,stop_timezone,preferred,stop_url,wheelchair_boarding,stop_desc,zone_id
0,870,43.913394,-78.859886,,Ritson Southbound @ Hillcroft,870,,2,,1,,
0,872,43.906697,-78.856969,,Ritson Southbound @ Adelaide,872,,2,,2,,
0,879,43.906068,-78.856466,,Ritson Northbound @ Adelaide,879,,2,,1,,
0,881,43.913421,-78.85972599999998,,Ritson Northbound @ Hillcroft,881,,2,,1,,
0,882,43.915191,-78.860494,,Ritson Northbound @ Oshawa Boulevard (South stop),882,,2,,1,,
0,883,43.917753,-78.86149899999998,,Ritson Northbound @ Rossland,883,,1,,1,,
0,884,43.919499,-78.86217499999998,,Ritson Northbound @ Tulip,884,,2,,1,,
0,885,43.92126249,-78.862948,,Ritson Northbound @ Darcy,885,,2,,1,,
0,886,43.92314600000001,-78.863791,,Northbound @ 881 Ritson,886,,2,,1,,
0,887,43.925002,-78.864607,,Ritson Northbound @ Highgate,887,,2,,1,,
0,888,43.927335,-78.865643,,Ritson Northbound @ Oshawa Boulevard (North stop),888,,2,,1,,
0,889,43.928913,-78.866347,,Ritson Northbound @ Beatrice (South stop),889,,2,,1,,
0,89,43.87103,-78.941511,,Burns Westbound @ Centre,89,,2,,2,,
0,892,43.93767900000001,-78.870106,,Ritson Northbound @ Ormond,892,,2,,1,,
0,896,43.95187700000001,-78.878549,,Conlin Westbound @ Ritson,896,,2,,1,,
0,897,43.951264,-78.881159,,Conlin Westbound @ Manor,897,,2,,1,,
0,898,43.95035,-78.88532,,Conlin Westbound @ Avalon,898,,2,,1,,
0,90,43.8703679,-78.944504401,,Burns Westbound @ Henry,90,,2,,2,,
0,90007,43.860468,-78.94369,,Victoria Westbound @ Gordon (Abilities Centre),90007,,1,,1,,
0,90014,43.876615,-78.804159,,Eastbound @ 1908 Colonel Sam,90014,,2,,1,,
0,90015,43.877563,-78.851395,,Simcoe Northbound @ Conant,90015,,2,,2,,
0,90034,43.930751,-78.69972199999998,,Scugog Southbound @ Bons,90034,,2,,1,,
0,90035,43.927613,-78.698374,,Scugog Southbound @ Somerscales,90035,,2,,1,,
0,90038,43.944594,-78.8507694,,Coldstream Eastbound @ Harmony,90038,,2,,1,,
0,90040,43.9447913,-78.8508273,,Coldstream Westbound @ Harmony (East side stop),90040,,2,,1,,
0,90041,43.94435514,-78.852735,,Coldstream Westbound @ Harmony (West side stop),90041,,2,,1,,
0,90042,43.944835,-78.856035,,Coldstream Westbound @ Pennel,90042,,2,,1,,
0,90043,43.94557611,-78.857899,,Coldstream Westbound @ Clearbrook,90043,,2,,1,,
0,90044,43.946166,-78.862296,,Coldstream Westbound @ Wilson,90044,,2,,1,,
0,90045,43.94900213,-78.86431399999998,,Wilson Northbound @ Greenhill,90045,,2,,1,,
0,90050,43.944435,-78.872409,,Coldstream Westbound @ Ritson,90050,,2,,1,,
0,90051,43.9451727,-78.8686743,,Coldstream Eastbound @ Whitestone,90051,,2,,1,,
0,90052,43.94571,-78.866106,,Coldstream Westbound @ Ormond,90052,,2,,1,,
0,90053,43.945539,-78.865092,,Coldstream Eastbound @ Ormond,90053,,2,,1,,
0,90054,43.945316,-78.862892,,Wilson Southbound @ Coldstream,90054,,2,,1,,
0,90055,43.94023700000001,-78.860584,,Wilson Southbound @ Larry,90055,,2,,1,,
0,90056,43.937886,-78.859533,,Wilson Southbound @ Taunton,90056,,1,,1,,
0,90057,43.935634,-78.85862899999998,,Southbound @ 1310 Wilson,90057,,2,,1,,
0,90063,43.915302,-78.849728,,Wilson Northbound @ Cavendish,90063,,2,,1,,
0,90064,43.915645,-78.849962,,Wilson Southbound @ Oakwood,90064,,2,,1,,
0,90065,43.9190034,-78.8512777,,Wilson Northbound @ Rossland,90065,,1,,1,,
0,90066,43.920439,-78.851912,,Wilson Southbound @ Rossland,90066,,1,,1,,
0,90070,43.943005,-78.861823,,Wilson Southbound @ Clearsky,90070,,2,,1,,
0,90076,43.94634257,-78.894148,,Simcoe Southbound @ Founders,90076,,1,,1,,
0,90078,43.9168969,-78.95004,,Eastbound @ 169 Taunton,90078,,2,,1,,
0,90079,43.94630488,-78.844289,,Westbound @ 1340 Coldstream,90079,,2,,1,,
0,90080,43.9461252,-78.844471,,Eastbound @ 1321 Coldstream,90080,,2,,1,,
0,90083,43.932287,-78.857147,,Wilson Southbound @ Beatrice,90083,,2,,1,,
0,90088,43.9177648,-78.9471226,,Taunton Westbound @ Garden (East side stop),90088,,2,,1,,
0,91,43.8696061,-78.9479702,,Burns Westbound @ Annes (East side stop),91,,2,,1,,
0,910,43.945257,-78.868727,,Coldstream Westbound @ Northfield,910,,2,,1,,
0,91000,43.847692,-79.020117,,Harwood Southbound @ Hunt,91000,,2,,1,,
0,911,43.93885,-78.849298,,Harmony Southbound @ Taunton,911,,2,,1,,
0,912,43.935314,-78.84771499999998,,Harmony Southbound @ Grand Ridge,912,,2,,2,,
