shape_id,direction_id,trip_id,direction_name,wheelchair_accessible,trip_headsign,block_id,route_id,service_id
100.0.20812857814_Timetable_-_2024-02,1,5107__4060_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4060_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5108__4033_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4033_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.20812857814_Timetable_-_2024-02,1,5109__4009_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4009_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.1046829421_Timetable_-_2024-02,0,510__64009_Timetable_-_2024-02,Northbound,1,Harmony,b_64009_Timetable_-_2024-02,405,Saturday
100.0.20812857814_Timetable_-_2024-02,1,5110__4015_Timetable_-_2024-02,Southbound,1,C - Oshawa Centre Terminal,b_4015_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5111__4060_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4060_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5112__4033_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4033_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5113__4009_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4009_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5114__4015_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4015_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5115__4011_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4011_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5116__4013_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4013_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5117__4010_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4010_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5118__4060_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4060_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5119__4033_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4033_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.1046829422_Timetable_-_2024-02,1,511__64024_Timetable_-_2024-02,Southbound,1,Oshawa Centre Terminal,b_64024_Timetable_-_2024-02,405,Saturday
100.0.2081285788_Timetable_-_2024-02,1,5120__4009_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4009_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5121__4015_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4015_Timetable_-_2024-02,901,Weekday_merged_999966
100.0.2081285788_Timetable_-_2024-02,1,5122__4028_Timetable_-_2024-02,Southbound,1,A - Lakeview Park,b_4028_Timetable_-_2024-02,901,Weekday_merged_999966
